#routeId	sign	shape	departs	stops
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,08:26:00,3;124,08:14:00,3;124,08:15:00,2;124,08:05:00,2;124,08:25:00,2;124,08:15:00,1;124,08:05:00,1;124,08:25:00,1	403399,0,;803147,321,;803105,428,;903280,660,;404857,960,;405006,1028,;401168,1169,;401169,1231,;405165,1417,;403317,1500,;403732,1620,;402033,1860,;402034,1923,;404100,2028,;402036,2123,;402037,2210,;402038,2302,;402039,2439,;401630,2514,;402041,2580,;402042,2643,;402043,2692,;404099,2875,;405368,3030,;903080,3120,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,06:50:00,3;124,06:50:00,2;124,06:50:00,1	405396,0,;402048,39,;402049,91,;401832,236,;405390,285,;404264,386,;402054,459,;402055,506,;402056,551,;402057,600,;401589,696,;403307,780,;403306,852,;403305,926,;403304,1039,;403303,1098,;402067,1203,;401202,1320,;403319,1430,;403318,1494,;401206,1560,;404287,1686,;401208,1752,;401209,1836,;401210,1920,;402870,1956,;903282,2160,;405386,2252,;903298,2281,;403397,2581,;803108,2640,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,07:44:00,3;124,07:45:00,2;124,07:45:00,1	403399,0,;803147,292,;803105,389,;903280,600,;404857,840,;405006,901,;401168,1026,;401169,1081,;405165,1246,;403317,1320,;403732,1440,;402033,1680,;402034,1743,;404100,1848,;402036,1943,;402037,2030,;402038,2122,;402039,2259,;401630,2334,;402041,2400,;402042,2463,;402043,2512,;404099,2695,;405368,2850,;903080,2940,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,13:22:00,3;124,13:25:00,2;124,13:25:00,1	405396,0,;402048,47,;402049,109,;401832,283,;405390,342,;404264,463,;402054,551,;402055,608,;402056,661,;402057,720,;401589,816,;403307,900,;403306,972,;403305,1046,;403304,1159,;403303,1218,;402067,1323,;401202,1440,;403319,1577,;403318,1658,;401206,1740,;404287,1887,;401208,1964,;401209,2062,;401210,2160,;402870,2205,;903282,2460,;405386,2552,;903298,2581,;403397,2881,;803108,2940,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	0,7,:	405396,0,;402048,47,;402049,109,;401832,283,;405390,342,;404264,463,;402054,551,;402055,608,;402056,661,;402057,720,;401589,816,;403307,900,;403306,972,;403305,1046,;403304,1159,;403303,1218,;402067,1323,;401202,1440,;403319,1550,;403318,1614,;401206,1680,;404287,1827,;401208,1904,;401209,2002,;401210,2100,;402870,2145,;903282,2400,;405386,2503,;903298,2537,;403397,2874,;803108,2940,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,07:59:00,3;124,07:55:00,2;124,07:55:00,1	403399,0,;803147,292,;803105,389,;903280,600,;404857,900,;405006,968,;401168,1109,;401169,1171,;405165,1357,;403317,1440,;403732,1560,;402033,1800,;402034,1863,;404100,1968,;402036,2063,;402037,2150,;402038,2242,;402039,2379,;401630,2454,;402041,2520,;402042,2583,;402043,2632,;404099,2815,;405368,2970,;903080,3060,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	1,0,:	403399,0,;803147,350,;803105,467,;903280,720,;404857,1020,;405006,1081,;401168,1206,;401169,1261,;405165,1426,;403317,1500,;403732,1600,;402033,1800,;402034,1857,;404100,1954,;402036,2041,;402037,2121,;402038,2205,;402039,2331,;401630,2399,;402041,2460,;402042,2523,;402043,2572,;404099,2755,;405368,2910,;903080,3000,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,07:12:00,3;124,07:16:00,2;124,07:08:00,2;124,07:16:00,1;124,07:08:00,1	405396,0,;402048,47,;402049,109,;401832,283,;405390,342,;404264,463,;402054,551,;402055,608,;402056,661,;402057,720,;401589,816,;403307,900,;403306,972,;403305,1046,;403304,1159,;403303,1218,;402067,1323,;401202,1440,;403319,1577,;403318,1658,;401206,1740,;404287,1887,;401208,1964,;401209,2062,;401210,2160,;402870,2205,;903282,2460,;405386,2563,;903298,2597,;403397,2934,;803108,3000,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,14:57:00,3;124,14:48:00,2;124,14:48:00,1	403399,0,;803147,321,;803105,428,;903280,660,;404857,1020,;405006,1088,;401168,1229,;401169,1291,;405165,1477,;403317,1560,;403732,1680,;402033,1920,;402034,1977,;404100,2074,;402036,2161,;402037,2241,;402038,2325,;402039,2451,;401630,2519,;402041,2580,;402042,2650,;402043,2704,;404099,2908,;405368,3080,;903080,3180,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,18:32:00,3;124,18:52:00,3;124,18:42:00,2;124,18:42:00,1	405396,0,;402048,47,;402049,109,;401832,283,;405390,342,;404264,463,;402054,551,;402055,608,;402056,661,;402057,720,;401589,816,;403307,900,;403306,972,;403305,1046,;403304,1159,;403303,1218,;402067,1323,;401202,1440,;403319,1550,;403318,1614,;401206,1680,;404287,1806,;401208,1872,;401209,1956,;401210,2040,;402870,2076,;903282,2280,;405386,2372,;903298,2401,;403397,2701,;803108,2760,
